"LOOPID","STAMP","FLAGS","FLAG2","SPEED","LENGTH","BIN1","BIN2","BIN3","BIN4"
8791,2012/6/13 13:08:20,0,8,679.00,0.00,6,0,1,0
8791,2012/6/13 13:08:40,0,8,681.00,0.00,8,3,1,0
8791,2012/6/13 13:09:00,0,8,683.00,0.00,8,1,0,0
8791,2012/6/13 13:09:20,0,8,748.00,0.00,1,0,0,0
8791,2012/6/13 13:09:40,0,8,666.00,0.00,9,0,2,1
8791,2012/6/13 13:10:00,0,8,658.00,0.00,8,2,0,0
8791,2012/6/13 13:10:20,0,8,607.00,0.00,7,2,1,1
8791,2012/6/13 13:10:40,0,8,686.00,0.00,6,3,0,0
8791,2012/6/13 13:11:00,0,8,700.00,0.00,4,2,0,0
8791,2012/6/13 13:11:20,0,8,696.00,0.00,8,1,0,0
8791,2012/6/13 13:11:40,0,8,657.00,0.00,8,1,0,0
8791,2012/6/13 13:12:00,0,8,673.00,0.00,6,1,0,0
8791,2012/6/13 13:12:20,0,8,671.00,0.00,7,3,0,0
8791,2012/6/13 13:12:40,0,8,686.00,0.00,10,0,0,0
8791,2012/6/13 13:13:00,0,8,660.00,0.00,9,3,0,0
8791,2012/6/13 13:13:20,0,8,692.00,0.00,6,3,0,0
8791,2012/6/13 13:13:40,0,8,654.00,0.00,7,1,0,0
8791,2012/6/13 13:14:00,0,8,702.00,0.00,8,1,0,0
8791,2012/6/13 13:14:20,0,8,679.00,0.00,9,0,0,0
8791,2012/6/13 13:14:40,0,8,664.00,0.00,7,1,0,0
8791,2012/6/13 13:15:00,0,8,653.00,0.00,3,3,0,0
8791,2012/6/13 13:15:20,0,8,663.00,0.00,10,1,0,0
8791,2012/6/13 13:15:40,0,8,696.00,0.00,6,1,0,0
8791,2012/6/13 13:16:00,0,8,648.00,0.00,9,1,0,0
8791,2012/6/13 13:16:20,0,8,674.00,0.00,8,1,1,0
8791,2012/6/13 13:16:40,0,8,663.00,0.00,6,1,0,1
8791,2012/6/13 13:17:00,0,8,625.00,0.00,5,2,0,0
8791,2012/6/13 13:17:20,0,8,654.00,0.00,11,1,0,0
8791,2012/6/13 13:17:40,0,8,642.00,0.00,10,1,0,1
8791,2012/6/13 13:18:00,0,8,638.00,0.00,8,3,0,0
8791,2012/6/13 13:18:20,0,8,649.00,0.00,6,3,0,0
8791,2012/6/13 13:18:40,0,8,657.00,0.00,5,2,0,0
8791,2012/6/13 13:19:00,0,8,628.00,0.00,11,3,0,0
8791,2012/6/13 13:19:20,0,8,633.00,0.00,6,1,0,0
8791,2012/6/13 13:19:40,0,8,626.00,0.00,10,1,1,0
8791,2012/6/13 13:20:00,0,8,645.00,0.00,9,2,0,0
8791,2012/6/13 13:20:20,0,8,680.00,0.00,9,1,0,0
8791,2012/6/13 13:20:40,0,8,687.00,0.00,5,1,0,0
8791,2012/6/13 13:21:00,0,8,642.00,0.00,5,2,0,0
8791,2012/6/13 13:21:20,0,8,679.00,0.00,8,1,0,0
8791,2012/6/13 13:21:40,0,8,631.00,0.00,8,3,1,0
8791,2012/6/13 13:22:00,0,8,697.00,0.00,10,0,0,0
8791,2012/6/13 13:22:20,0,8,665.00,0.00,10,0,0,0
8791,2012/6/13 13:22:40,0,8,700.00,0.00,6,0,0,0
8791,2012/6/13 13:23:00,0,8,685.00,0.00,8,0,0,0
8791,2012/6/13 13:23:20,0,8,637.00,0.00,4,0,0,0
8791,2012/6/13 13:23:40,0,8,736.00,0.00,6,1,0,0
8791,2012/6/13 13:24:00,0,8,695.00,0.00,7,0,0,0
